Timestamp,"I would like candidates to write about their experiences (e.g. blog, writing columns in The Ubyssey) ",I think the AMS currently does enough consultation with students,I want more face-to-face time with elected candidates ,I think the AMS's most important job is engaging students,I value management experience in a candidate ,"I think it's a good thing for a candidate to have experience within a specific political party, even if they might have to lobby that party's opponents",I think the AMS should focus on lobbying for the Broadway subway line extension to UBC more than than alternate transit fixes,I think that campaigns encouraging students to vote in the gov elections are valuable,I think candidates should have experience lobbying for student interests,I value the prioritization of diversity in every aspect of decision-making,I think the AMS should focus more on events,I'm in favour of repealing the arts language requirement,"I think Block Party should be bigger, at a bigger financial risk",I think that the AMS should explore more options for campus security.,I think that the AMS should prioritize eradicating bike theft,I think the AMS should prioritize getting more people out to Thunderbirds games,I value experience in creating and understanding university policies,I value a constant push for transparency within the bodies of UBC,I value a candidate that is well-versed in UBC's sexual assault policy,I think that the AMS should invest their money at a slightly higher risk for a larger financial gain,I think that extending the add-drop deadline would improve student mental health,I am satisfied with the current amount of mental health services on campus,I support continued advocacy for more athletics and recreation space on campus,I think current VP Finance Louis Retief has done a good job of managing the AMS's finances this year,I would like to see a quarterly report of the AMS's finances,I value a fresh perspective over relevant experience,It's important for my representatives to have close ties to the Greek system,I think student representation on Senate has been good this year,"It's important for my representatives to have prior AMS or constituency (AUS, EUS, etc.) experience",It's important for my representatives to have experience working with others,"I think a ""steady hand"" is more important than shaking things up"
3/6/2017 23:15:09,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Disagree,Agree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Strongly Disagree,Neutral,Agree,Agree,Agree
3/6/2017 23:16:43,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Agree,Disagree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Neutral
3/6/2017 23:17:59,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree
3/6/2017 23:18:58,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree
3/6/2017 23:22:02,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree
3/6/2017 23:23:33,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
3/6/2017 23:26:54,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Strongly Agree,Agree,Neutral,Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Agree
3/6/2017 23:30:37,Neutral,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Agree
3/6/2017 23:30:57,Neutral,Disagree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,Neutral,Agree,Agree,Strongly Agree
3/6/2017 23:32:13,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree
3/6/2017 23:34:04,Strongly Agree,Strongly Disagree,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Neutral,Agree,Agree,Neutral
3/6/2017 23:34:36,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Agree,Strongly Agree,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Agree,Neutral,Strongly Disagree,Neutral,Disagree,Neutral,Neutral
3/6/2017 23:34:30,Neutral,Neutral,Strongly Disagree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Neutral,Agree,Strongly Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree
3/6/2017 23:35:46,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
3/6/2017 23:36:47,Neutral,,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Neutral
3/6/2017 23:39:43,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Strongly Disagree,Neutral,Agree,Agree,Neutral
3/6/2017 23:43:40,Neutral,Disagree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Disagree,Agree,Neutral,Agree,Disagree,Strongly Disagree,Neutral,Agree,Neutral,Strongly Disagree
3/6/2017 23:50:21,Neutral,Disagree,Disagree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Neutral
3/6/2017 23:52:16,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Neutral
3/6/2017 23:55:30,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Neutral,Strongly Disagree,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Neutral
3/6/2017 23:56:44,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Disagree,Neutral,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Strongly Disagree,Neutral,Neutral,Strongly Agree,Agree
3/6/2017 23:59:01,Strongly Agree,Agree,Neutral,Neutral,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Neutral,Strongly Agree,,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree
3/6/2017 23:59:04,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral
